"BRANCHES","ID","New_Char","STNAME","TOTAL","YEAR"
115,"CB_1982_AK",,"Alaska",14,"1982"
656,"CB_1982_AL",,"Alabama",294,"1982"
411,"CB_1982_AR",,"Arkansas",260,"1982"
2,"CB_1982_AS",,"American Samoa",1,"1982"
600,"CB_1982_AZ",,"Arizona",30,"1982"
4506,"CB_1982_CA",,"California",361,"1982"
104,"CB_1982_CO",,"Colorado",374,"1982"
618,"CB_1982_CT",,"Connecticut",54,"1982"
162,"CB_1982_DC",,"District Of Columbia",17,"1982"
150,"CB_1982_DE",,"Delaware",27,"1982"
1623,"CB_1982_FL",,"Florida",476,"1982"
12,"CB_1982_FM",,"Federated States of Micronesia",0,"1982"
928,"CB_1982_GA",,"Georgia",416,"1982"
15,"CB_1982_GU",,"Guam",1,"1982"
167,"CB_1982_HI",,"Hawaii",10,"1982"
514,"CB_1982_IA",,"Iowa",643,"1982"
261,"CB_1982_ID",,"Idaho",27,"1982"
619,"CB_1982_IL",,"Illinois",1250,"1982"
1193,"CB_1982_IN",,"Indiana",400,"1982"
208,"CB_1982_KS",,"Kansas",620,"1982"
736,"CB_1982_KY",,"Kentucky",342,"1982"
844,"CB_1982_LA",,"Louisiana",278,"1982"
993,"CB_1982_MA",,"Massachusetts",136,"1982"
1036,"CB_1982_MD",,"Maryland",91,"1982"
316,"CB_1982_ME",,"Maine",35,"1982"
2137,"CB_1982_MI",,"Michigan",374,"1982"
315,"CB_1982_MN",,"Minnesota",759,"1982"
493,"CB_1982_MO",,"Missouri",732,"1982"
731,"CB_1982_MS",,"Mississippi",167,"1982"
26,"CB_1982_MT",,"Montana",166,"1982"
1783,"CB_1982_NC",,"North Carolina",69,"1982"
122,"CB_1982_ND",,"North Dakota",176,"1982"
130,"CB_1982_NE",,"Nebraska",461,"1982"
184,"CB_1982_NH",,"New Hampshire",71,"1982"
1648,"CB_1982_NJ",,"New Jersey",148,"1982"
263,"CB_1982_NM",,"New Mexico",92,"1982"
163,"CB_1982_NV",,"Nevada",13,"1982"
3265,"CB_1982_NY",,"New York",205,"1982"
2268,"CB_1982_OH",,"Ohio",355,"1982"
134,"CB_1982_OK",,"Oklahoma",509,"1982"
604,"CB_1982_OR",,"Oregon",88,"1982"
2627,"CB_1982_PA",,"Pennsylvania",340,"1982"
245,"CB_1982_PR",,"Puerto Rico",14,"1982"
222,"CB_1982_RI",,"Rhode Island",15,"1982"
773,"CB_1982_SC",,"South Carolina",78,"1982"
160,"CB_1982_SD",,"South Dakota",152,"1982"
989,"CB_1982_TN",,"Tennessee",346,"1982"
305,"CB_1982_TX",,"Texas",1598,"1982"
332,"CB_1982_UT",,"Utah",61,"1982"
1465,"CB_1982_VA",,"Virginia",202,"1982"
24,"CB_1982_VI",,"Virgin Islands Of The U.S.",0,"1982"
180,"CB_1982_VT",,"Vermont",27,"1982"
856,"CB_1982_WA",,"Washington",100,"1982"
462,"CB_1982_WI",,"Wisconsin",624,"1982"
84,"CB_1982_WV",,"West Virginia",241,"1982"
4,"CB_1982_WY",,"Wyoming",111,"1982"
114,"CB_1981_AK",,"Alaska",12,"1981"
668,"CB_1981_AL",,"Alabama",308,"1981"
420,"CB_1981_AR",,"Arkansas",262,"1981"
2,"CB_1981_AS",,"American Samoa",0,"1981"
580,"CB_1981_AZ",,"Arizona",26,"1981"
4477,"CB_1981_CA",,"California",312,"1981"
133,"CB_1981_CO",,"Colorado",340,"1981"
613,"CB_1981_CT",,"Connecticut",57,"1981"
159,"CB_1981_DC",,"District Of Columbia",17,"1981"
147,"CB_1981_DE",,"Delaware",19,"1981"
1481,"CB_1981_FL",,"Florida",495,"1981"
11,"CB_1981_FM",,"Federated States of Micronesia",0,"1981"
940,"CB_1981_GA",,"Georgia",426,"1981"
14,"CB_1981_GU",,"Guam",1,"1981"
163,"CB_1981_HI",,"Hawaii",9,"1981"
593,"CB_1981_IA",,"Iowa",649,"1981"
259,"CB_1981_ID",,"Idaho",27,"1981"
627,"CB_1981_IL",,"Illinois",1252,"1981"
1181,"CB_1981_IN",,"Indiana",405,"1981"
282,"CB_1981_KS",,"Kansas",618,"1981"
794,"CB_1981_KY",,"Kentucky",343,"1981"
855,"CB_1981_LA",,"Louisiana",273,"1981"
981,"CB_1981_MA",,"Massachusetts",138,"1981"
990,"CB_1981_MD",,"Maryland",94,"1981"
356,"CB_1981_ME",,"Maine",36,"1981"
2236,"CB_1981_MI",,"Michigan",375,"1981"
312,"CB_1981_MN",,"Minnesota",759,"1981"
465,"CB_1981_MO",,"Missouri",728,"1981"
718,"CB_1981_MS",,"Mississippi",170,"1981"
46,"CB_1981_MT",,"Montana",164,"1981"
1780,"CB_1981_NC",,"North Carolina",71,"1981"
137,"CB_1981_ND",,"North Dakota",175,"1981"
320,"CB_1981_NE",,"Nebraska",457,"1981"
175,"CB_1981_NH",,"New Hampshire",71,"1981"
1652,"CB_1981_NJ",,"New Jersey",161,"1981"
259,"CB_1981_NM",,"New Mexico",88,"1981"
156,"CB_1981_NV",,"Nevada",12,"1981"
3565,"CB_1981_NY",,"New York",212,"1981"
2318,"CB_1981_OH",,"Ohio",379,"1981"
284,"CB_1981_OK",,"Oklahoma",501,"1981"
600,"CB_1981_OR",,"Oregon",84,"1981"
2672,"CB_1981_PA",,"Pennsylvania",350,"1981"
235,"CB_1981_PR",,"Puerto Rico",12,"1981"
227,"CB_1981_RI",,"Rhode Island",14,"1981"
766,"CB_1981_SC",,"South Carolina",83,"1981"
172,"CB_1981_SD",,"South Dakota",153,"1981"
1056,"CB_1981_TN",,"Tennessee",351,"1981"
298,"CB_1981_TX",,"Texas",1523,"1981"
318,"CB_1981_UT",,"Utah",66,"1981"
1443,"CB_1981_VA",,"Virginia",223,"1981"
24,"CB_1981_VI",,"Virgin Islands Of The U.S.",0,"1981"
173,"CB_1981_VT",,"Vermont",27,"1981"
918,"CB_1981_WA",,"Washington",99,"1981"
551,"CB_1981_WI",,"Wisconsin",636,"1981"
66,"CB_1981_WV",,"West Virginia",243,"1981"
4,"CB_1981_WY",,"Wyoming",108,"1981"
113,"CB_1980_AK",,"Alaska",12,"1980"
624,"CB_1980_AL",,"Alabama",317,"1980"
415,"CB_1980_AR",,"Arkansas",260,"1980"
2,"CB_1980_AS",,"American Samoa",0,"1980"
537,"CB_1980_AZ",,"Arizona",24,"1980"
4279,"CB_1980_CA",,"California",281,"1980"
111,"CB_1980_CO",,"Colorado",323,"1980"
603,"CB_1980_CT",,"Connecticut",64,"1980"
151,"CB_1980_DC",,"District Of Columbia",17,"1980"
148,"CB_1980_DE",,"Delaware",18,"1980"
1184,"CB_1980_FL",,"Florida",556,"1980"
11,"CB_1980_FM",,"Federated States of Micronesia",0,"1980"
876,"CB_1980_GA",,"Georgia",435,"1980"
16,"CB_1980_GU",,"Guam",1,"1980"
162,"CB_1980_HI",,"Hawaii",9,"1980"
572,"CB_1980_IA",,"Iowa",651,"1980"
247,"CB_1980_ID",,"Idaho",26,"1980"
534,"CB_1980_IL",,"Illinois",1253,"1980"
1129,"CB_1980_IN",,"Indiana",405,"1980"
272,"CB_1980_KS",,"Kansas",619,"1980"
761,"CB_1980_KY",,"Kentucky",344,"1980"
805,"CB_1980_LA",,"Louisiana",269,"1980"
952,"CB_1980_MA",,"Massachusetts",138,"1980"
942,"CB_1980_MD",,"Maryland",102,"1980"
308,"CB_1980_ME",,"Maine",41,"1980"
