"Year","State","Number"
"1948","AB",0
"1949","AB",0
"1950","AB",0
"1951","AB",0
"1952","AB",0
"1953","AB",0
"1954","AB",0
"1955","AB",0
"1956","AB",0
"1957","AB",0
"1958","AB",0
"1959","AB",0
"1960","AB",0
"1961","AB",0
"1962","AB",0
"1963","AB",0
"1964","AB",0
"1965","AB",0
"1966","AB",0
"1967","AB",0
"1968","AB",0
"1969","AB",0
"1970","AB",0
"1971","AB",1
"1972","AB",2
"1973","AB",2
"1974","AB",18
"1975","AB",27
"1976","AB",20
"1977","AB",50
"1978","AB",32
"1979","AB",57
"1980","AB",29
"1981","AB",54
"1982","AB",47
"1983","AB",51
"1984","AB",38
"1948","AK",0
"1949","AK",0
"1950","AK",0
"1951","AK",0
"1952","AK",0
"1953","AK",0
"1954","AK",0
"1955","AK",0
"1956","AK",0
"1957","AK",0
"1958","AK",0
"1959","AK",0
"1960","AK",0
"1961","AK",0
"1962","AK",0
"1963","AK",0
"1964","AK",0
"1965","AK",0
"1966","AK",0
"1967","AK",0
"1968","AK",0
"1969","AK",0
"1970","AK",0
"1971","AK",0
"1972","AK",0
"1973","AK",0
"1974","AK",2
"1975","AK",0
"1976","AK",3
"1977","AK",3
"1978","AK",0
"1979","AK",1
"1980","AK",2
"1981","AK",2
"1982","AK",2
"1983","AK",0
"1984","AK",1
"1948","AL",0
"1949","AL",0
"1950","AL",0
"1951","AL",0
"1952","AL",0
"1953","AL",0
"1954","AL",0
"1955","AL",0
"1956","AL",0
"1957","AL",0
"1958","AL",1
"1959","AL",0
"1960","AL",0
"1961","AL",0
"1962","AL",0
"1963","AL",0
"1964","AL",0
"1965","AL",0
"1966","AL",0
"1967","AL",0
"1968","AL",0
"1969","AL",0
"1970","AL",1
"1971","AL",2
"1972","AL",2
"1973","AL",2
"1974","AL",20
"1975","AL",52
"1976","AL",46
"1977","AL",52
"1978","AL",64
"1979","AL",58
"1980","AL",63
"1981","AL",55
"1982","AL",63
"1983","AL",80
"1984","AL",105
"1948","AR",0
"1949","AR",0
"1950","AR",0
"1951","AR",0
"1952","AR",0
"1953","AR",0
"1954","AR",0
"1955","AR",0
"1956","AR",0
"1957","AR",0
"1958","AR",0
"1959","AR",0
"1960","AR",0
"1961","AR",0
"1962","AR",0
"1963","AR",0
"1964","AR",0
"1965","AR",0
"1966","AR",0
"1967","AR",0
"1968","AR",0
"1969","AR",0
"1970","AR",0
"1971","AR",1
"1972","AR",2
"1973","AR",0
"1974","AR",7
"1975","AR",23
"1976","AR",16
