"name","state","party","year"
"James Abdnor","South Dakota","Republican","1981"
"James Abdnor","South Dakota","Republican","1982"
"James Abdnor","South Dakota","Republican","1983"
"James Abdnor","South Dakota","Republican","1984"
"James Abdnor","South Dakota","Republican","1985"
"Hazel Abel","Nebraska","Republican","1954"
"James Abourezk","South Dakota","Democratic","1973"
"James Abourezk","South Dakota","Democratic","1974"
"James Abourezk","South Dakota","Democratic","1975"
"James Abourezk","South Dakota","Democratic","1976"
"James Abourezk","South Dakota","Democratic","1977"
"James Abourezk","South Dakota","Democratic","1978"
"James Abourezk","South Dakota","Democratic","1979"
"George D. Aiken","Vermont","Republican","1945"
"George D. Aiken","Vermont","Republican","1946"
"George D. Aiken","Vermont","Republican","1947"
"George D. Aiken","Vermont","Republican","1948"
"George D. Aiken","Vermont","Republican","1949"
"George D. Aiken","Vermont","Republican","1950"
"George D. Aiken","Vermont","Republican","1951"
"George D. Aiken","Vermont","Republican","1952"
"George D. Aiken","Vermont","Republican","1953"
"George D. Aiken","Vermont","Republican","1954"
"George D. Aiken","Vermont","Republican","1955"
"George D. Aiken","Vermont","Republican","1956"
"George D. Aiken","Vermont","Republican","1957"
"George D. Aiken","Vermont","Republican","1958"
"George D. Aiken","Vermont","Republican","1959"
"George D. Aiken","Vermont","Republican","1960"
"George D. Aiken","Vermont","Republican","1961"
"George D. Aiken","Vermont","Republican","1962"
"George D. Aiken","Vermont","Republican","1963"
"George D. Aiken","Vermont","Republican","1964"
"George D. Aiken","Vermont","Republican","1965"
"George D. Aiken","Vermont","Republican","1966"
"George D. Aiken","Vermont","Republican","1967"
"George D. Aiken","Vermont","Republican","1968"
"George D. Aiken","Vermont","Republican","1969"
"George D. Aiken","Vermont","Republican","1970"
"George D. Aiken","Vermont","Republican","1971"
"George D. Aiken","Vermont","Republican","1972"
"George D. Aiken","Vermont","Republican","1973"
"George D. Aiken","Vermont","Republican","1974"
"George D. Aiken","Vermont","Republican","1975"
"James B. Allen","Alabama","Democratic","1969"
"James B. Allen","Alabama","Democratic","1970"
"James B. Allen","Alabama","Democratic","1971"
"James B. Allen","Alabama","Democratic","1972"
"James B. Allen","Alabama","Democratic","1973"
"James B. Allen","Alabama","Democratic","1974"
"James B. Allen","Alabama","Democratic","1975"
"James B. Allen","Alabama","Democratic","1976"
"James B. Allen","Alabama","Democratic","1977"
"James B. Allen","Alabama","Democratic","1978"
"Maryon Pittman Allen","Alabama","Democratic","1978"
"Gordon L. Allott","Colorado","Republican","1955"
"Gordon L. Allott","Colorado","Republican","1956"
"Gordon L. Allott","Colorado","Republican","1957"
"Gordon L. Allott","Colorado","Republican","1958"
"Gordon L. Allott","Colorado","Republican","1959"
"Gordon L. Allott","Colorado","Republican","1960"
"Gordon L. Allott","Colorado","Republican","1961"
"Gordon L. Allott","Colorado","Republican","1962"
"Gordon L. Allott","Colorado","Republican","1963"
"Gordon L. Allott","Colorado","Republican","1964"
"Gordon L. Allott","Colorado","Republican","1965"
"Gordon L. Allott","Colorado","Republican","1966"
"Gordon L. Allott","Colorado","Republican","1967"
"Gordon L. Allott","Colorado","Republican","1968"
"Gordon L. Allott","Colorado","Republican","1969"
"Gordon L. Allott","Colorado","Republican","1970"
"Gordon L. Allott","Colorado","Republican","1971"
"Gordon L. Allott","Colorado","Republican","1972"
"Gordon L. Allott","Colorado","Republican","1973"
"Clinton P. Anderson","New Mexico","Democratic","1949"
"Clinton P. Anderson","New Mexico","Democratic","1950"
"Clinton P. Anderson","New Mexico","Democratic","1951"
"Clinton P. Anderson","New Mexico","Democratic","1952"
"Clinton P. Anderson","New Mexico","Democratic","1953"
"Clinton P. Anderson","New Mexico","Democratic","1954"
"Clinton P. Anderson","New Mexico","Democratic","1955"
"Clinton P. Anderson","New Mexico","Democratic","1956"
"Clinton P. Anderson","New Mexico","Democratic","1957"
"Clinton P. Anderson","New Mexico","Democratic","1958"
"Clinton P. Anderson","New Mexico","Democratic","1959"
"Clinton P. Anderson","New Mexico","Democratic","1960"
"Clinton P. Anderson","New Mexico","Democratic","1961"
"Clinton P. Anderson","New Mexico","Democratic","1962"
"Clinton P. Anderson","New Mexico","Democratic","1963"
"Clinton P. Anderson","New Mexico","Democratic","1964"
"Clinton P. Anderson","New Mexico","Democratic","1965"
"Clinton P. Anderson","New Mexico","Democratic","1966"
"Clinton P. Anderson","New Mexico","Democratic","1967"
"Clinton P. Anderson","New Mexico","Democratic","1968"
"Clinton P. Anderson","New Mexico","Democratic","1969"
"Clinton P. Anderson","New Mexico","Democratic","1970"
"Clinton P. Anderson","New Mexico","Democratic","1971"
"Clinton P. Anderson","New Mexico","Democratic","1972"
"Clinton P. Anderson","New Mexico","Democratic","1973"
"Wendell Anderson","Minnesota","Democratic","1976"
"Wendell Anderson","Minnesota","Democratic","1977"
"Wendell Anderson","Minnesota","Democratic","1978"
"Charles O. Andrews","Florida","Democratic","1945"
"Charles O. Andrews","Florida","Democratic","1946"
"Mark Andrews","North Dakota","Republican","1981"
"Mark Andrews","North Dakota","Republican","1982"
"Mark Andrews","North Dakota","Republican","1983"
"Mark Andrews","North Dakota","Republican","1984"
"Mark Andrews","North Dakota","Republican","1985"
"William L. Armstrong","Colorado","Republican","1979"
"William L. Armstrong","Colorado","Republican","1980"
"William L. Armstrong","Colorado","Republican","1981"
"William L. Armstrong","Colorado","Republican","1982"
"William L. Armstrong","Colorado","Republican","1983"
"William L. Armstrong","Colorado","Republican","1984"
"William L. Armstrong","Colorado","Republican","1985"
"Warren Austin","Vermont","Republican","1945"
"Warren Austin","Vermont","Republican","1946"
"Josiah W. Bailey","North Carolina","Democratic","1945"
"Josiah W. Bailey","North Carolina","Democratic","1946"
"Howard Baker Jr.","Tennessee","Republican","1967"
"Howard Baker Jr.","Tennessee","Republican","1968"
"Howard Baker Jr.","Tennessee","Republican","1969"
"Howard Baker Jr.","Tennessee","Republican","1970"
"Howard Baker Jr.","Tennessee","Republican","1971"
"Howard Baker Jr.","Tennessee","Republican","1972"
"Howard Baker Jr.","Tennessee","Republican","1973"
"Howard Baker Jr.","Tennessee","Republican","1974"
"Howard Baker Jr.","Tennessee","Republican","1975"
"Howard Baker Jr.","Tennessee","Republican","1976"
"Howard Baker Jr.","Tennessee","Republican","1977"
"Howard Baker Jr.","Tennessee","Republican","1978"
"Howard Baker Jr.","Tennessee","Republican","1979"
"Howard Baker Jr.","Tennessee","Republican","1980"
"Howard Baker Jr.","Tennessee","Republican","1981"
"Howard Baker Jr.","Tennessee","Republican","1982"
"Howard Baker Jr.","Tennessee","Republican","1983"
"Howard Baker Jr.","Tennessee","Republican","1984"
"Howard Baker Jr.","Tennessee","Republican","1985"
"Raymond E. Baldwin","Connecticut","Republican","1946"
"Raymond E. Baldwin","Connecticut","Republican","1947"
"Raymond E. Baldwin","Connecticut","Republican","1948"
"Raymond E. Baldwin","Connecticut","Republican","1949"
"Joseph H. Ball","Minnesota","Republican","1945"
"Joseph H. Ball","Minnesota","Republican","1946"
"Joseph H. Ball","Minnesota","Republican","1947"
"Joseph H. Ball","Minnesota","Republican","1948"
"Joseph H. Ball","Minnesota","Republican","1949"
"John H. Bankhead II","Alabama","Democratic","1945"
"John H. Bankhead II","Alabama","Democratic","1946"
"Alben W. Barkley","Kentucky","Democratic","1945"
"Alben W. Barkley","Kentucky","Democratic","1946"
"Alben W. Barkley","Kentucky","Democratic","1947"
"Alben W. Barkley","Kentucky","Democratic","1948"
"Alben W. Barkley","Kentucky","Democratic","1949"
"Alben W. Barkley","Kentucky","Democratic","1955"
"Alben W. Barkley","Kentucky","Democratic","1956"
"Frank A. Barrett","Wyoming","Republican","1953"
"Frank A. Barrett","Wyoming","Republican","1954"
"Frank A. Barrett","Wyoming","Republican","1955"
"Frank A. Barrett","Wyoming","Republican","1956"
"Frank A. Barrett","Wyoming","Republican","1957"
"Frank A. Barrett","Wyoming","Republican","1958"
"Frank A. Barrett","Wyoming","Republican","1959"
"Bob Bartlett","Alaska","Democratic","1959"
"Bob Bartlett","Alaska","Democratic","1960"
"Bob Bartlett","Alaska","Democratic","1961"
"Bob Bartlett","Alaska","Democratic","1962"
"Bob Bartlett","Alaska","Democratic","1963"
"Bob Bartlett","Alaska","Democratic","1964"
"Bob Bartlett","Alaska","Democratic","1965"
"Bob Bartlett","Alaska","Democratic","1966"
"Bob Bartlett","Alaska","Democratic","1967"
"Bob Bartlett","Alaska","Democratic","1968"
"Dewey F. Bartlett","Oklahoma","Republican","1973"
"Dewey F. Bartlett","Oklahoma","Republican","1974"
"Dewey F. Bartlett","Oklahoma","Republican","1975"
"Dewey F. Bartlett","Oklahoma","Republican","1976"
"Dewey F. Bartlett","Oklahoma","Republican","1977"
"Dewey F. Bartlett","Oklahoma","Republican","1978"
"Dewey F. Bartlett","Oklahoma","Republican","1979"
"Ross Bass","Tennessee","Democratic","1964"
"Ross Bass","Tennessee","Democratic","1965"
"Ross Bass","Tennessee","Democratic","1966"
"Ross Bass","Tennessee","Democratic","1967"
"Max Baucus","Montana","Democratic","1978"
"Max Baucus","Montana","Democratic","1979"
"Max Baucus","Montana","Democratic","1980"
"Max Baucus","Montana","Democratic","1981"
"Max Baucus","Montana","Democratic","1982"
"Max Baucus","Montana","Democratic","1983"
"Max Baucus","Montana","Democratic","1984"
"Max Baucus","Montana","Democratic","1985"
"Birch Bayh","Indiana","Democratic","1963"
"Birch Bayh","Indiana","Democratic","1964"
"Birch Bayh","Indiana","Democratic","1965"
"Birch Bayh","Indiana","Democratic","1966"
"Birch Bayh","Indiana","Democratic","1967"
"Birch Bayh","Indiana","Democratic","1968"
"Birch Bayh","Indiana","Democratic","1969"
"Birch Bayh","Indiana","Democratic","1970"
"Birch Bayh","Indiana","Democratic","1971"
"Birch Bayh","Indiana","Democratic","1972"
"Birch Bayh","Indiana","Democratic","1973"
"Birch Bayh","Indiana","Democratic","1974"
"Birch Bayh","Indiana","Democratic","1975"
"Birch Bayh","Indiana","Democratic","1976"
"Birch Bayh","Indiana","Democratic","1977"
"Birch Bayh","Indiana","Democratic","1978"
"Birch Bayh","Indiana","Democratic","1979"
"Birch Bayh","Indiana","Democratic","1980"
"Birch Bayh","Indiana","Democratic","1981"
"James Glenn Beall","Maryland","Republican","1953"
"James Glenn Beall","Maryland","Republican","1954"
"James Glenn Beall","Maryland","Republican","1955"
"James Glenn Beall","Maryland","Republican","1956"
"James Glenn Beall","Maryland","Republican","1957"
