"State","Farms Number","Land Area","Percentage of Farmland","Value per acre","Year"
"CONNECTICUT           ",15615,3135360,40.6,247.77,1950
"MAINE                 ",30358,19865600,21,54.17,1950
"MASSACHUSETTS         ",22220,5034880,33,189.54,1950
"NEW HAMPSHIRE         ",13391,5770880,29.7,72.85,1950
"RHODE ISLAND          ",2598,677120,28.2,230.02,1950
"VERMONT               ",19043,5937920,59.4,55.68,1950
"DELAWARE              ",7448,1265920,67.2,114.11,1950
"NEW JERSEY            ",24838,4814080,35.8,292.84,1950
"NEW YORK              ",124977,30684160,52.2,91.62,1950
"PENNSYLVANIA          ",146887,28828800,49,107.19,1950
"ILLINOIS              ",195268,35798400,86.5,174.15,1950
"INDIANA               ",166627,23171200,84.8,136.9,1950
"MICHIGAN              ",155589,36494080,47.3,98.52,1950
"OHIO                  ",199359,26240000,79.9,136.34,1950
"WISCONSIN             ",168561,35011200,66.3,88.58,1950
"IOWA                  ",203159,35868800,95.5,160.71,1950
"KANSAS                ",131394,52549120,92.5,65.8,1950
"MINNESOTA             ",179101,51205760,64.2,84.46,1950
"MISSOURI              ",230045,44304640,79.3,63.66,1950
"NEBRASKA              ",107183,49064320,96.7,57.62,1950
"NORTH DAKOTA          ",65401,44836480,91.9,28.86,1950
"SOUTH DAKOTA          ",66452,48983040,91.4,31.3,1950
"VIRGINIA              ",150997,25531520,61,82.01,1950
"ALABAMA               ",211512,32689920,63.9,48.69,1950
"ARKANSAS              ",182429,33712000,56,60.18,1950
"FLORIDA               ",56921,34727680,47.6,57.23,1950
"GEORGIA               ",198191,37429120,68.8,43.28,1950
"LOUISIANA             ",124181,28903680,38.8,82.21,1950
"MISSISSIPPI           ",251383,30238720,68.5,55.42,1950
"NORTH CAROLINA        ",288508,31422080,61.5,98.65,1950
"SOUTH CAROLINA        ",139364,19395200,61.2,69.06,1950
"TEXAS                 ",331567,168648320,86.2,46.21,1950
"KENTUCKY              ",218476,25512960,76.2,80.87,1950
"MARYLAND              ",36107,6323840,64.1,125.07,1950
"OKLAHOMA              ",142246,44179840,81.5,51.42,1950
"TENNESSEE             ",231631,26750080,69.3,77.26,1950
"WEST VIRGINIA         ",81434,15411200,53.3,59.31,1950
"ARIZONA               ",10412,72688000,54.9,17.98,1950
"COLORADO              ",45578,66510080,57.1,32.54,1950
"IDAHO                 ",40284,52972160,25,73.01,1950
"MONTANA               ",35085,93361920,63.5,17,1950
"NEVADA                ",3110,70264960,10.1,22.7,1950
"NEW MEXICO            ",23599,77767040,61.1,16.1,1950
"UTAH                  ",24176,52701440,20.6,47.67,1950
"WYOMING               ",12614,62403840,55.2,13.21,1950
"CALIFORNIA            ",137168,100313600,36.5,162.41,1950
"OREGON                ",59827,61641600,33,62.73,1950
"WASHINGTON            ",69820,42743040,40.6,86.78,1950
"ALASKA                ",525,365481600,0.1,15.51,1950
"HAWAII                ",5750,4099840,59.3,,1950
"DIST COLUMBIA         ",28,39040,3.2,3688.41,1950
"CONNECTICUT                      ",12753,3135360,36.3,288.54,1954
"MAINE                            ",23368,19865600,18.2,60.61,1954
"MASSACHUSETTS                    ",17361,5034880,28.6,217.39,1954
"NEW HAMPSHIRE                    ",10411,5770880,25.3,83.34,1954
"RHODE ISLAND                     ",2004,677120,22.8,309.41,1954
"VERMONT                          ",15981,5937920,55.9,61.38,1954
"DELAWARE                         ",6297,1265920,64.3,152.88,1954
"NEW JERSEY                       ",22686,4814080,34.6,339,1954
"NEW YORK                         ",105714,30684160,49.1,107.32,1954
"PENNSYLVANIA                     ",128876,28828800,45.7,134.17,1954
"ILLINOIS                         ",175543,35798400,84.9,229.56,1954
"INDIANA                          ",153593,23171200,83,194.45,1954
"MICHIGAN                         ",138922,36494080,45.1,130.43,1954
"OHIO                             ",177074,26240000,76.2,184.56,1954
"WISCONSIN                        ",153558,35011200,64.3,100.85,1954
"IOWA                             ",192933,35868800,94.9,198.88,1954
"KANSAS                           ",120167,52549120,95.2,79.37,1954
"MINNESOTA                        ",165225,51205760,63,105.58,1954
"MISSOURI                         ",201614,44304640,77.2,79.24,1954
"NEBRASKA                         ",100846,49064320,96.8,71.1,1954
"NORTH DAKOTA                     ",61943,44836480,93.4,35.78,1954
"SOUTH DAKOTA                     ",62520,48983040,91.8,39.13,1954
"VIRGINIA                         ",136416,25531520,57.5,105.95,1954
"ALABAMA                          ",176956,32689920,63.7,58.62,1954
"ARKANSAS                         ",145076,33712000,53.2,72.96,1954
"FLORIDA                          ",57543,34727680,52.3,114.45,1954
"GEORGIA                          ",165523,37429120,64.2,61.36,1954
"LOUISIANA                        ",111127,28903680,39.6,112.81,1954
"MISSISSIPPI                      ",215915,30238720,68.5,72.5,1954
"NORTH CAROLINA                   ",267906,31422080,58.1,128.1,1954
"SOUTH CAROLINA                   ",124203,19395200,57.1,88.26,1954
"TEXAS                            ",292947,168648320,86.5,59.94,1954
"KENTUCKY                         ",193487,25512960,70.7,92.03,1954
"MARYLAND                         ",32500,6323840,61.6,176.95,1954
"OKLAHOMA                         ",118979,44179840,80.6,63.68,1954
"TENNESSEE                        ",203149,26750080,66,91.61,1954
"DIST OF COLUMBIA                 ",0,39040,,,1954
"WEST VIRGINIA                    ",68583,15411200,47.7,67.42,1954
"ARIZONA                          ",9321,72688000,57.5,35.89,1954
"COLORADO                         ",40749,66510080,57.7,39.13,1954
"IDAHO                            ",38740,52972160,27.1,94.31,1954
"MONTANA                          ",33061,93361920,65.8,24.3,1954
"NEVADA                           ",2857,70264960,11.7,26.52,1954
"NEW MEXICO                       ",21070,77767040,63.6,20.38,1954
"UTAH                             ",22826,52701440,23.3,51.76,1954
"WYOMING                          ",11402,62403840,56.1,16.29,1954
"CALIFORNIA                       ",123075,100313600,37.7,235.73,1954
"OREGON                           ",54441,61641600,34.1,76.24,1954
"WASHINGTON                       ",65175,42743040,41.3,121.65,1954
"CONNECTICUT                               ",8292,3135360,28.2,430.2,1959
"MAINE                                     ",17360,19847680,15.5,82.93,1959
"MASSACHUSETTS                             ",11179,5034880,22.7,304.55,1959
"NEW HAMPSHIRE                             ",6542,5768960,19.5,105.95,1959
"RHODE ISLAND                              ",1395,677120,20.4,418.34,1959
"VERMONT                                   ",12099,5936640,49.6,80.53,1959
"DELAWARE                                  ",5208,1265920,60.2,242.7,1959
"NEW JERSEY                                ",15459,4813440,28.6,538.65,1959
"NEW YORK                                  ",82356,30680960,44,145.05,1959
"PENNSYLVANIA                              ",100052,28804480,41.2,184.44,1959
"ILLINOIS                                  ",154644,35795200,84.7,319.75,1959
"INDIANA                                   ",128160,23158400,80.4,265.92,1959
"MICHIGAN                                  ",111817,36492160,40.5,189.93,1959
"OHIO                                      ",140353,26222080,70.6,245.15,1959
"WISCONSIN                                 ",131215,35011200,60.4,132.01,1959
"IOWA                                      ",174707,35860480,94.3,254.34,1959
"KANSAS                                    ",104347,52510720,95.5,100.35,1959
"MINNESOTA                                 ",145662,51205760,60.1,154.32,1959
"MISSOURI                                  ",168672,44248320,74.9,110.57,1959
"NEBRASKA                                  ",90475,49031680,97.4,88.28,1959
"NORTH DAKOTA                              ",54928,44452480,93.3,52.12,1959
"SOUTH DAKOTA                              ",55727,48881920,91.8,51.62,1959
"VIRGINIA                                  ",97623,25496320,51.5,140.51,1959
"ALABAMA                                   ",115788,32678400,50.6,92.25,1959
"ARKANSAS                                  ",95007,33599360,49,103.26,1959
"FLORIDA                                   ",45100,34721280,43.9,223.86,1959
"GEORGIA                                   ",106350,37295360,52.7,100.01,1959
"LOUISIANA                                 ",74438,28867840,35.8,174.88,1959
