"Year","State","State_ab","Population"
1948,"Alabama             ","AL",2959000
1948,"Alaska              ","AK",
1948,"Arizona             ","AZ",680000
1948,"Arkansas            ","AR",1824000
1948,"California          ","CA",9895000
1948,"Colorado            ","CO",1249000
1948,"Connecticut         ","CT",2007999.875
1948,"Delaware            ","DE",311000
1948,"Florida             ","FL",2537000
1948,"Georgia             ","GA",3235000
1948,"Hawaii              ","HI",
1948,"Idaho               ","ID",551000
1948,"Illinois            ","IL",8503000
1948,"Indiana             ","IN",3875000
1948,"Iowa                ","IA",2542000
1948,"Kansas              ","KS",1878000
1948,"Kentucky            ","KY",2790000
1948,"Louisiana           ","LA",2584000
1948,"Maine               ","ME",875000
1948,"Maryland            ","MD",2241000
1948,"Massachusetts       ","MA",4656000
1948,"Michigan            ","MI",6206000
1948,"Minnesota           ","MN",2867000
1948,"Mississippi         ","MS",2066000
1948,"Missouri            ","MO",3841000
1948,"Montana             ","MT",539000
1948,"Nebraska            ","NE",1261000
1948,"Nevada              ","NV",155000
1948,"New Hampshire       ","NH",517000
1948,"New Jersey          ","NJ",4735000
1948,"New Mexico          ","NM",595000
1948,"New York            ","NY",14465000
1948,"North Carolina      ","NC",3796000
1948,"North Dakota        ","ND",580000
1948,"Ohio                ","OH",7865000
1948,"Oklahoma            ","OK",2079000
1948,"Oregon              ","OR",1404000
1948,"Pennsylvania        ","PA",10271000
1948,"Rhode Island        ","RI",773000
1948,"South Carolina      ","SC",1960000
1948,"South Dakota        ","SD",609000
1948,"Tennessee           ","TN",3207000
1948,"Texas               ","TX",7547000
1948,"Utah                ","UT",650000
1948,"Vermont             ","VT",359000
1948,"Virginia            ","VA",3121000
1948,"Washington          ","WA",2218000
1948,"West Virginia       ","WV",1899000
1948,"Wisconsin           ","WI",3313000
1948,"Wyoming             ","WY",263000
1949,"Alabama             ","AL",2992000
1949,"Alaska              ","AK",
1949,"Arizona             ","AZ",706000
1949,"Arkansas            ","AR",1834000
1949,"California          ","CA",10161000
1949,"Colorado            ","CO",1278000
1949,"Connecticut         ","CT",2026000
1949,"Delaware            ","DE",315000
1949,"Florida             ","FL",2623000
1949,"Georgia             ","GA",3281000
1949,"Hawaii              ","HI",
1949,"Idaho               ","ID",567000
1949,"Illinois            ","IL",8629000
1949,"Indiana             ","IN",3955000
1949,"Iowa                ","IA",2578000
1949,"Kansas              ","KS",1898000
1949,"Kentucky            ","KY",2819000
1949,"Louisiana           ","LA",2621000
1949,"Maine               ","ME",899000
1949,"Maryland            ","MD",2296000
1949,"Massachusetts       ","MA",4717000
1949,"Michigan            ","MI",6324000
1949,"Minnesota           ","MN",2934000
1949,"Mississippi         ","MS",2075000
1949,"Missouri            ","MO",3880000
1949,"Montana             ","MT",565000
1949,"Nebraska            ","NE",1299000
1949,"Nevada              ","NV",155000
1949,"New Hampshire       ","NH",529000
1949,"New Jersey          ","NJ",4842000
1949,"New Mexico          ","NM",634000
1949,"New York            ","NY",14863000
1949,"North Carolina      ","NC",3857000
1949,"North Dakota        ","ND",597000
1949,"Ohio                ","OH",7964000
1949,"Oklahoma            ","OK",2091000
1949,"Oregon              ","OR",1429000
1949,"Pennsylvania        ","PA",10375000
1949,"Rhode Island        ","RI",783000
1949,"South Carolina      ","SC",2004000
1949,"South Dakota        ","SD",628000
1949,"Tennessee           ","TN",3225000
1949,"Texas               ","TX",7505000
1949,"Utah                ","UT",669000
1949,"Vermont             ","VT",369000
1949,"Virginia            ","VA",3186000
