id,index,year,month,day,state,text,category,banking,stringency,explanation,stringecy_num
1,108,1953,2,24,south dakota,"Any undivided interest, or certificate, based upon an undivided interest, in all royalties, oil leases, or mineral deeds is not an exempt security where an offer is made that may reasonably be interpreted as containing an offer to the general public.",Exemption,No,More,"The change stipulates that undivided interests in assets such as royalties, oil leases or mineral deeds cannot be exempted securities if they are offered to the general public, implying that their issuers must comply with relevant security registration and disclosure requirements. This can increase the regulatory burden for businesses dealing in these types of securities, specifically in terms of compliance with registration and disclosure laws. Financial intermediaries may also have to perform more stringent due diligence when offering these securities to the public.",1
2,108,1953,2,24,south dakota,"Funds of South Dakota insurance companies may be invested in bonds of Canadian political subdivisions and bonds or notes guaranteed by the Veterans' Administrator pursuant to the provisions of the Veterans' Readjustment Assistance Act of 1952 (P.L. 550, 82nd Congress).",Other,Yes,Less,"This legal text allows insurance companies in South Dakota to invest in bonds of Canadian political subdivisions and bonds or notes guaranteed by the Veterans' Administrator. The change eases the restrictions on investment activities of insurance companies, thus providing them with more options for investment diversification. This could potentially positively impact investment returns, but it may also expose them to new risks associated with investing in foreign bonds and notes.",-1
3,109,1953,3,5,georgia,"Deposit of funds at interest in any chartered state or national bank or trust company located in Georgia, which is insured by the Federal Deposit Insurance Corporation, is an authorized legal investment for the money and assets of Georgia insurance companies.",Other,Yes,Neutral,"The change allows Georgia insurance companies' investments in FDIC-insured banks or trust companies in-state as an authorized legal option. This provides potential financial stability for these companies from secure, interest-earning deposits but doesn't substantially alter securities laws or regulations under Blue Sky laws. This change could increase investment activity by financial intermediaries in Georgia but doesn't necessarily increase or decrease state regulatory oversight.",0
4,109,1953,3,5,idaho,"Brokers and investment companies dealing in securities, other than exempt securities, must be licensed by the Idaho Department of Finance. Under provisions of the law prior to amendment, brokers and investment companies dealing in securities other than bonds of the United States, the State of Idaho or Idaho municipal corporations were required to be licensed. The amendment also increased fees. The fee for agent's license was increased from $10.00 to $20.00 per year and the fee for filing semi-annual statements of investment companies was increased from $5.00 to $10.00 for each statement.","Broker/Dealer, Fees",No,More,"The amendment to Idaho's securities law expands the licensing requirement to brokers and investment companies dealing in securities beyond U.S. and Idaho bonds and municipal corporations, demonstrating increased stringency. Additionally, this revision also implements increased licensing fees and semi-annual statement filing fees, potentially raising the cost of investment and business operations in the state. This suggests a higher supervisory position by the state over securities dealings, which could likely affect the risk-taking propensity of the brokers and investment companies.",1
5,110,1953,3,12,indiana,"The Indiana Legislature has authorized the use and distribution of identifying statements for which a registration statement has been filed with the Securities and Exchange Commission. The identifying statements, which are statements giving the prospective investor preliminary information concerning a proposed sale of securities, must contain a prominent statement to the effect that the information contained therein is for informative purposes only and that no order for the sale of such securities will be accepted unless and until the securities are effectively registered or qualified for sale in Indiana. Before an identifying statement may be used it must first be approved by the Indiana Securities Commission. The filing fee is $25.00, which may be applied to the payment of any fees required in connection with the filing of an application for registration of the securities. Provisions applicable to identifying statements are also applicable to a proposed form of prospectus. The use and distribution of a proposed form of prospectus were authorized by the law prior to amendment.","Registration, Fees, Disclosure",No,More,"The amendment to the Indiana Legislature adds greater stringency to the registration and disclosure process for securities offerings. Approval from the Indiana Securities Commission for identifying statements further enhances the oversight and procedural rigour, therefore increasing the administrative burden for businesses. Additionally, despite the nominal filing fee of $25.00, this change may deter potential issuers owing to the uncertainty of outcome and time involved, thus impacting the ease of capital raising for businesses.",1
6,110,1953,3,12,north dakota,"Investment of the funds of North Dakota insurance companies in notes secured by mortgages on improved unencumbered real estate has been restricted by amendment to real estate within North Dakota, within any state in which the company is licensed to transact business, or within any contiguous state. The amendment, effective July 1, 1953, also amended provisions in respect to insurance carried on buildings which have been mortgaged to secure funds loaned by the insurance company.",Other,Yes,More,"The amendment restricts North Dakota insurance companies' investment choices, limiting them to real estate within the state, states where they are licensed, or any contiguous state. This narrows down the scope of secured investment options and could potentially reduce risk exposure. Additionally, the revision regarding insurance on mortgaged buildings implies tighter control over scenarios involving their own loaned funds.",1
7,112,1953,3,20,california,"The defendants were indicted for selling shares of stock without a permit from the California Commissioner of Corporations. The evidence showed that the company and its investors had contracted to form a corporation in the future. Since in a criminal prosecution it could not be assumed that any stock would be issued without a permit, the proof failed to establish the facts and circumstances necessary to constitute the crime charged.",Registration,No,More,"This incident emphasizes the criminal implications of selling shares without appropriate registration, thus increasing stringency of securities laws. Viewing such acts as criminal offences may deter similar practices in the future, reducing risk for investors and reinforcing the integrity of investment activity.",1
8,112,1953,3,20,massachusetts,"The statute authorizing the investment of deposits of Massachusetts savings banks has been amended, effective June 7, 1953, in respect to the appraisal for the revaluation of real estate on which the savings bank holds a mortgage as security for a loan.,Another amendment to the same statute, effective June 8, 1953, authorizes savings banks to invest in the capital stock of any insurance company authorized to conduct a fire insurance business in Massachusetts that meets the requirements of the law.",Other,Yes,Neutral,"The changes made to the Massachusetts savings banks statute affects the appraisal for the revaluation of real estate and the investment in the capital stock of insurance companies. These amendments, however, do not appear to significantly alter the stringency of the regulation as they mainly clarify investment avenues and valuation protocols. While the changes might indirectly impact businesses and financial intermediaries via presence of new potential investments and revised valuation procedures, the overall regulatory impact is neutral.",0
9,112,1953,3,20,north dakota,"On and after July 1, 1953, oil and gas brokers in North Dakota must register with the State Securities Commissioner. Registrants must file with the Commissioner a surety bond in the penal sum of three thousand dollars or deposit cash or securities in lieu of the bond. This bond or deposit covers the acts of the broker's authorized employees or agents. Non-resident brokers must appoint the Commissioner an agent for service of process. The fee for registration of a broker is fifty dollars.","Registration, Broker/Dealer, Fees",No,More,"This regulation enforces a more stringent requirement for oil and gas brokers in North Dakota. By mandating the brokers to register with the State Securities Commissioner, it enhances oversight and accountability. Plus, the brokers are required to provide a surety bond or cash deposit, thereby creating additional protection for investors. This potentially increases costs for brokers, but augments investor confidence and risk mitigation.",1
10,113,1953,3,31,massachusetts,"The investment of funds of Massachusetts savings banks in the common stock of certain banks has been amended, effective June 7, 1953, in respect to the funds that the bank may invest in addition to the amounts already invested.",Other,Yes,Less,"The adjustment in legislation permits Massachusetts savings banks to invest additional funds in common stocks of certain banks, beyond what was previously allowed. This avails them greater investment freedom and could potentially impact the overall risk profile of their investment portfolios. On the business side, those banks whose stocks are the investment target may experience increased capital influx.",-1
